1567877075.437291,0.024574,11.471761,3.956246,0.000449,0.000082
1567877075.438388,0.028685,11.471726,3.955985,0.000451,0.000078
1567877075.439483,0.032786,11.471691,3.955725,0.000451,0.000073
1567877075.440581,0.036896,11.471655,3.955464,0.000452,0.000069
1567877075.441681,0.041010,11.471619,3.955205,0.000451,0.000063
1567877075.442785,0.045142,11.471583,3.954946,0.000450,0.000055
1567877075.443876,0.049216,11.471546,3.954690,0.000447,0.000045
1567877075.444979,0.053339,11.471509,3.954430,0.000443,0.000033
1567877075.446113,0.057572,11.471470,3.954165,0.000437,0.000020
1567877075.447218,0.061697,11.471433,3.953905,0.000432,0.000007
1567877075.448317,0.065799,11.471395,3.953648,0.000426,-0.000005
1567877075.448493,0.066457,11.471389,3.953607,0.000425,-0.000007
1567877075.449581,0.070514,11.471351,3.953352,0.000418,-0.000018
1567877075.450668,0.074566,11.471313,3.953096,0.000411,-0.000027
1567877075.451788,0.078741,11.471273,3.952832,0.000404,-0.000035
1567877075.453082,0.083558,11.471226,3.952530,0.000395,-0.000042
1567877075.454220,0.087793,11.471184,3.952264,0.000385,-0.000046
1567877075.455371,0.092079,11.471142,3.951996,0.000373,-0.000049
1567877075.456463,0.096138,11.471103,3.951741,0.000359,-0.000051
1567877075.457551,0.100185,11.471063,3.951487,0.000345,-0.000053
1567877075.458692,0.104426,11.471021,3.951221,0.000328,-0.000057
1567877075.459784,0.108477,11.470984,3.950967,0.000312,-0.000062
1567877075.460874,0.112525,11.470944,3.950713,0.000295,-0.000068
1567877075.460903,0.112634,11.470943,3.950706,0.000295,-0.000068
1567877075.462023,0.116789,11.470903,3.950445,0.000277,-0.000075
1567877075.463127,0.120885,11.470859,3.950193,0.000259,-0.000083
1567877075.464293,0.125208,11.470813,3.949926,0.000238,-0.000094
1567877075.465385,0.129259,11.470769,3.949679,0.000220,-0.000108
1567877075.466493,0.133362,11.470724,3.949427,0.000201,-0.000124
1567877075.467580,0.137389,11.470681,3.949181,0.000184,-0.000142
1567877075.468705,0.141556,11.470635,3.948926,0.000167,-0.000163
1567877075.469806,0.145632,11.470592,3.948677,0.000150,-0.000185
1567877075.470936,0.149813,11.470548,3.948423,0.000132,-0.000210
1567877075.472079,0.154041,11.470505,3.948167,0.000116,-0.000238
1567877075.473248,0.158363,11.470460,3.947905,0.000100,-0.000268
1567877075.474414,0.162668,11.470416,3.947644,0.000086,-0.000300
1567877075.474517,0.163050,11.470412,3.947621,0.000085,-0.000302
1567877075.475691,0.167388,11.470368,3.947358,0.000072,-0.000335
1567877075.476896,0.171840,11.470324,3.947087,0.000060,-0.000369
1567877075.478000,0.175919,11.470286,3.946840,0.000049,-0.000401
1567877075.479099,0.179979,11.470248,3.946594,0.000037,-0.000435
1567877075.480203,0.184054,11.470209,3.946347,0.000027,-0.000470
1567877075.481294,0.188079,11.470172,3.946104,0.000016,-0.000506
1567877075.482386,0.192105,11.470134,3.945860,0.000008,-0.000541
1567877075.483495,0.196192,11.470095,3.945614,-0.000000,-0.000576
1567877075.484623,0.200351,11.470057,3.945363,-0.000007,-0.000611
1567877075.485756,0.204521,11.470018,3.945113,-0.000013,-0.000646
1567877075.486865,0.208603,11.469981,3.944869,-0.000017,-0.000680
1567877075.486920,0.208805,11.469980,3.944857,-0.000018,-0.000682
