1567877034.737858,-1.301089,12.028589,4.649863,0.011600,-0.000228,0.420000,-0.420000
1567877034.738979,-1.294477,12.028656,4.649580,0.011453,-0.000257,-0.053434,0.120114
1567877034.740202,-1.287264,12.028727,4.649272,0.011292,-0.000289,-0.029205,0.119568
1567877034.740273,-1.286846,12.028732,4.649254,0.011283,-0.000291,-0.029205,0.119568
1567877034.741368,-1.280400,12.028796,4.648977,0.011138,-0.000320,-0.035987,0.120299
1567877034.742485,-1.273819,12.028867,4.648693,0.010992,-0.000348,-0.021154,0.119724
1567877034.743625,-1.267100,12.028940,4.648402,0.010837,-0.000367,-0.024489,0.115322
1567877034.744754,-1.260453,12.029012,4.648114,0.010677,-0.000367,-0.027463,0.119952
1567877034.746137,-1.252316,12.029101,4.647761,0.010470,-0.000336,-0.034464,0.119779
1567877034.747264,-1.245688,12.029174,4.647472,0.010290,-0.000272,-0.028091,0.119631
1567877034.748745,-1.236987,12.029270,4.647092,0.010040,-0.000135,-0.029334,0.119151
1567877034.748847,-1.236385,12.029277,4.647065,0.010021,-0.000120,-0.029334,0.119151
1567877034.749970,-1.229791,12.029349,4.646775,0.009816,0.000046,-0.029784,0.119998
1567877034.751090,-1.223217,12.029420,4.646484,0.009599,0.000264,-0.028304,0.119930
1567877034.752220,-1.216580,12.029492,4.646190,0.009367,0.000540,-0.026775,0.121149
1567877034.753336,-1.210036,12.029563,4.645899,0.009126,0.000872,-0.030461,0.119823
1567877034.754462,-1.203439,12.029634,4.645605,0.008870,0.001268,-0.036717,0.119768
1567877034.755575,-1.196920,12.029705,4.645314,0.008603,0.001724,-0.029902,0.120174
1567877034.756677,-1.190467,12.029776,4.645024,0.008325,0.002240,-0.032804,0.119705
1567877034.757824,-1.183765,12.029848,4.644723,0.008021,0.002844,-0.031896,0.120120
1567877034.758936,-1.177263,12.029920,4.644430,0.007713,0.003500,-0.032385,0.120631
1567877034.760035,-1.170848,12.029991,4.644141,0.007395,0.004214,-0.030736,0.118713
1567877034.760140,-1.170236,12.029998,4.644113,0.007363,0.004288,-0.030736,0.118713
1567877034.761358,-1.163132,12.030078,4.643792,0.006994,0.005156,-0.037429,0.119322
1567877034.762481,-1.156577,12.030150,4.643495,0.006638,0.006029,-0.026017,0.120155
1567877034.763586,-1.150139,12.030220,4.643205,0.006275,0.006951,-0.031213,0.121089
1567877034.764691,-1.143701,12.030291,4.642913,0.005898,0.007937,-0.033207,0.120608
1567877034.765812,-1.137179,12.030362,4.642616,0.005504,0.008996,-0.033444,0.120240
1567877034.766947,-1.130576,12.030435,4.642316,0.005092,0.010129,-0.034456,0.119767
1567877034.768175,-1.123440,12.030512,4.641991,0.004636,0.011415,-0.040781,0.119729
1567877034.769315,-1.116818,12.030583,4.641688,0.004203,0.012667,-0.033263,0.121561
1567877034.770430,-1.110342,12.030653,4.641391,0.003770,0.013943,-0.033646,0.120479
1567877034.770468,-1.110121,12.030655,4.641381,0.003755,0.013988,-0.033646,0.120479
1567877034.771571,-1.103725,12.030722,4.641088,0.003319,0.015294,-0.046776,0.121022
1567877034.772673,-1.097334,12.030796,4.640797,0.002875,0.016640,-0.022708,0.120187
1567877034.773776,-1.090941,12.030868,4.640504,0.002424,0.018022,-0.034557,0.115503
1567877034.774904,-1.084407,12.030942,4.640203,0.001955,0.019466,-0.037089,0.120937
1567877034.776012,-1.078001,12.031014,4.639910,0.001488,0.020912,-0.035061,0.120018
1567877034.777122,-1.071583,12.031085,4.639615,0.001014,0.022385,-0.038221,0.120746
1567877034.778232,-1.065167,12.031157,4.639319,0.000537,0.023877,-0.037042,0.120955
1567877034.779346,-1.058735,12.031227,4.639023,0.000054,0.025388,-0.037130,0.119971
1567877034.780441,-1.052420,12.031297,4.638731,-0.000422,0.026882,-0.037205,0.120548
1567877034.781550,-1.046025,12.031367,4.638435,-0.000907,0.028403,-0.037376,0.120185
1567877034.782658,-1.039638,12.031437,4.638138,-0.001393,0.029924,-0.045515,0.119643
