counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2230,2004,448,-10554,-313,50,241,0.000732,-0.000916,-1.369583,-0.042480,0.026123,0.052979,-3.328125,3.207031,-0.968750,5250,-63,-176,-155,7808,7826,8165,7916,-8.818937,2.865907,0.016602,-0.001709
2231,1872,-178,-9613,-695,1000,6,0.000488,-0.000427,-1.369583,-0.135742,0.258057,-0.004395,-3.328125,3.207031,-0.968750,5250,-2,-340,-159,7789,7823,8190,7896,-8.819071,2.866307,0.016602,-0.001709
2232,-2027,-800,-7764,-377,170,-252,0.000366,-0.000244,-1.369690,-0.058105,0.055420,-0.067383,-3.328125,3.207031,-0.968750,5250,-40,-219,-151,7803,7820,8165,7921,-8.819204,2.866707,0.016602,-0.001709
2233,-1530,-217,-10631,-111,-658,4,0.000366,-0.000488,-1.369690,0.006836,-0.146729,-0.004883,-3.328125,3.207031,-0.968750,5250,-75,-84,-154,7809,7816,8183,7927,-8.819338,2.867106,0.016602,-0.001709
2234,1773,185,-12444,-167,-272,228,0.000427,-0.000671,-1.369678,-0.006836,-0.052490,0.049805,-3.328125,3.207031,-0.968750,5250,-70,-136,-167,7817,7814,8199,7928,-8.819471,2.867505,0.016602,-0.001709
2235,1818,-319,-10486,-433,673,13,0.000244,-0.000366,-1.369678,-0.071777,0.178223,-0.002686,-3.328125,3.207031,-0.968750,5250,-32,-291,-170,7822,7787,8196,7912,-8.819604,2.867904,0.016602,-0.001709
2236,-1527,-558,-6169,-411,503,-263,0.000122,-0.000000,-1.369703,-0.066406,0.136719,-0.070068,-3.328125,3.207031,-0.968750,5250,-33,-276,-162,7841,7795,8171,7935,-8.819736,2.868302,0.016602,-0.001709
2237,-1862,375,-9210,-209,-636,-191,0.000122,-0.000244,-1.369750,-0.017090,-0.141357,-0.052490,-3.328125,3.207031,-0.968750,5250,-60,-91,-155,7840,7793,8185,7932,-8.819869,2.868700,0.016602,-0.001709
2238,846,1117,-12652,-568,-486,-50,-0.000122,-0.000488,-1.369870,-0.104736,-0.104736,-0.018066,-3.328125,3.207031,-0.968750,5250,-6,-105,-154,7837,7774,8181,7943,-8.820002,2.869097,0.016602,-0.001709
2239,462,-39,-12848,-836,-63,-213,-0.000427,-0.000549,-1.369942,-0.170166,-0.001465,-0.057861,-3.328125,3.207031,-0.968750,5250,38,-163,-144,7840,7785,8189,7943,-8.820134,2.869494,0.016602,-0.001709
