counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y
3628,-1129,-70,-15432,95,-507,119,0.002198,0.000488,-1.105593,0.056885,-0.110840,0.007812,-3.546875,3.707031,-1.609375,5325,-106,-201,-874,8220,7366,8660,7728,-931.776245,-554.322205
3629,430,-409,-14141,167,-573,193,0.002320,0.000244,-1.105593,0.074463,-0.126953,0.025879,-3.546875,3.707031,-1.609375,5325,-114,-180,-874,8201,7383,8672,7720,-931.776245,-554.322144
3630,1569,4,-3490,217,4,385,0.002503,0.000244,-1.105484,0.086670,0.013916,0.072754,-3.546875,3.707031,-1.609375,5325,-119,-268,-884,8204,7400,8670,7708,-931.776245,-554.322083
3631,-403,378,-7298,-10,285,252,0.002563,0.000427,-1.105375,0.031250,0.082520,0.040283,-3.546875,3.707031,-1.609375,5325,-84,-318,-890,8175,7411,8671,7713,-931.776245,-554.322021
3632,-1426,-344,-15831,-383,-106,117,0.002563,0.000427,-1.105375,-0.059814,-0.012939,0.007324,-3.546875,3.707031,-1.609375,5325,-24,-260,-891,8187,7431,8651,7698,-931.776245,-554.321960
3633,-1311,-483,-10895,-313,-634,126,0.002380,0.000183,-1.105375,-0.042725,-0.141846,0.009521,-3.546875,3.707031,-1.597656,5325,-22,-171,-893,8162,7439,8669,7695,-931.776245,-554.321899
3634,907,583,-5499,-540,-34,324,0.002258,0.000122,-1.105184,-0.098145,0.004639,0.057861,-3.546875,3.707031,-1.597656,5325,22,-264,-904,8179,7447,8663,7692,-931.776245,-554.321838
3635,728,-141,-11252,-911,579,261,0.001892,0.000488,-1.105184,-0.188721,0.154297,0.042480,-3.546875,3.707031,-1.597656,5325,91,-371,-912,8165,7448,8663,7676,-931.776245,-554.321777
3636,-2219,-614,-12505,-932,43,-30,0.001526,0.000488,-1.105184,-0.193848,0.023438,-0.028564,-3.546875,3.707031,-1.597656,5325,114,-294,-908,8180,7447,8654,7700,-931.776245,-554.321716
3637,-920,-43,-9108,-769,-778,10,0.001099,0.000122,-1.105293,-0.154053,-0.177002,-0.018799,-3.546875,3.707031,-1.597656,5325,110,-157,-905,8194,7448,8650,7707,-931.776245,-554.321655
3638,878,409,-8419,-937,-425,318,0.000794,-0.000061,-1.105265,-0.195068,-0.090820,0.056396,-3.546875,3.707031,-1.597656,5325,148,-203,-915,8199,7445,8620,7706,-931.776245,-554.321594
3639,856,-614,-12386,-1059,-196,87,0.000305,-0.000122,-1.105265,-0.224854,-0.034912,0.000000,-3.546875,3.707031,-1.597656,5325,181,-232,-915,8208,7445,8628,7713,-931.776245,-554.321533
3640,462,-966,-13058,-769,-455,-89,0.000061,-0.000305,-1.105265,-0.154053,-0.098145,-0.042969,-3.546875,3.707031,-1.597656,5325,152,-184,-906,8206,7433,8611,7721,-931.776245,-554.321472
3641,135,-485,-9831,-431,-658,183,-0.000183,-0.000549,-1.105265,-0.071533,-0.147705,0.023438,-3.546875,3.707031,-1.597656,5325,109,-142,-909,8252,7408,8590,7737,-931.776245,-554.321411
3642,1540,915,-8683,-662,6,531,-0.000305,-0.000610,-1.105101,-0.127930,0.014404,0.108398,-3.546875,3.707031,-1.597656,5325,143,-247,-928,8252,7409,8572,7727,-931.776245,-554.321350
3643,1264,485,-9570,-926,695,217,-0.000732,-0.000183,-1.105020,-0.192383,0.182617,0.031738,-3.546875,3.707031,-1.597656,5325,184,-370,-934,8263,7392,8551,7758,-931.776245,-554.321289
3644,-1864,-26,-9345,-821,45,61,-0.001038,-0.000122,-1.105020,-0.166748,0.023926,-0.006348,-3.546875,3.707031,-1.597656,5325,176,-278,-934,8285,7376,8553,7742,-931.776245,-554.321228
3645,-2255,534,-10585,-854,-732,316,-0.001465,-0.000427,-1.105020,-0.174805,-0.165771,0.055908,-3.546875,3.707031,-1.597656,5325,188,-152,-945,8289,7376,8540,7776,-931.776245,-554.321167
3646,1136,856,-11857,-1043,-69,305,-0.001831,-0.000549,-1.104965,-0.220947,-0.003906,0.053223,-3.546875,3.707031,-1.597656,5325,222,-254,-956,8308,7344,8527,7782,-931.776245,-554.321106
3647,548,-468,-8784,-680,276,-80,-0.002075,-0.000305,-1.104965,-0.132324,0.080322,-0.040771,-3.546875,3.699219,-1.597656,5325,176,-313,-950,8326,7359,8513,7792,-931.776245,-554.321045
3648,-1500,-666,-9086,-111,-516,19,-0.001983,-0.000505,-1.104909,0.006592,-0.113037,-0.016602,-3.546875,3.699219,-1.597656,5325,92,-184,-948,8320,7332,8519,7776,-931.776245,-554.320984
3649,607,-534,-13109,326,-557,385,-0.001892,-0.000793,-1.104965,0.113281,-0.123047,0.072754,-3.546875,3.699219,-1.597656,5325,15,-170,-961,8328,7316,8506,7798,-931.776245,-554.320923
3650,2760,-390,-9229,597,956,148,-0.001465,-0.000427,-1.104965,0.179443,0.246338,0.014893,-3.546875,3.699219,-1.597656,5325,-46,-422,-964,8336,7320,8492,7804,-931.776245,-554.320862
3651,-1348,-58,-3403,708,854,-278,-0.000977,0.000244,-1.105129,0.206543,0.221436,-0.089111,-3.546875,3.699219,-1.597656,5325,-88,-427,-947,8354,7315,8493,7807,-931.776245,-554.320801
3652,-4310,795,-10140,363,-1046,-102,-0.000793,-0.000122,-1.105156,0.122314,-0.242432,-0.046143,-3.546875,3.699219,-1.597656,5325,-62,-122,-936,8351,7306,8508,7810,-931.776245,-554.320740
3653,1409,1278,-17704,-132,-529,165,-0.000732,-0.000366,-1.105129,0.001465,-0.116211,0.019043,-3.546875,3.699219,-1.597656,5325,-3,-194,-936,8348,7323,8509,7807,-931.776245,-554.320679
3654,3650,348,-9597,-381,882,-85,-0.000916,-0.000061,-1.105265,-0.059326,0.228271,-0.041992,-3.546875,3.699219,-1.597656,5325,32,-423,-924,8329,7314,8534,7779,-931.776245,-554.320618
3655,-782,14,-5035,-357,1283,-342,-0.000977,0.000610,-1.105484,-0.053467,0.326172,-0.104736,-3.546875,3.699219,-1.597656,5325,35,-512,-899,8298,7312,8554,7789,-931.776245,-554.320557
3656,-2947,-224,-11458,-213,-335,-56,-0.001038,0.000549,-1.105593,-0.018311,-0.068848,-0.034912,-3.546875,3.699219,-1.597656,5325,20,-263,-885,8296,7327,8548,7793,-931.776245,-554.320496
3657,1380,-607,-13073,313,-15,141,-0.000794,0.000488,-1.105593,0.110107,0.009277,0.013184,-3.546875,3.699219,-1.597656,5325,-55,-316,-880,8287,7319,8562,7796,-931.776245,-554.320435
3658,2250,-1063,-5806,677,980,-207,-0.000488,0.000793,-1.105593,0.198975,0.252197,-0.071777,-3.546875,3.699219,-1.597656,5325,-117,-484,-859,8280,7342,8572,7788,-931.776245,-554.320374
3659,-2927,246,-9070,793,161,-265,-0.000061,0.000977,-1.105811,0.227295,0.052246,-0.085938,-3.546875,3.699219,-1.597656,5325,-151,-359,-835,8257,7324,8606,7795,-931.776245,-554.320312
3660,-2071,39,-16003,738,-1131,281,0.000366,0.000488,-1.105811,0.213867,-0.263184,0.047363,-3.546875,3.699219,-1.597656,5325,-161,-137,-834,8246,7339,8601,7803,-931.776245,-554.320251
3661,3144,-490,-10689,736,-383,296,0.000794,0.000244,-1.105811,0.213379,-0.080566,0.051025,-3.546875,3.699219,-1.597656,5325,-176,-238,-835,8233,7343,8626,7799,-931.776245,-554.320190
3662,3968,-529,-6843,684,754,-10,0.001221,0.000671,-1.105811,0.200684,0.197021,-0.023682,-3.546875,3.699219,-1.597656,5325,-182,-420,-825,8198,7352,8629,7776,-931.776245,-554.320129
3663,-260,1344,-7576,231,734,17,0.001404,0.001099,-1.105784,0.090088,0.192139,-0.017090,-3.546875,3.699219,-1.597656,5325,-123,-431,-816,8198,7361,8639,7791,-931.776245,-554.320068
3664,-2949,1151,-13672,-220,-479,536,0.001282,0.000977,-1.105647,-0.020020,-0.104004,0.109619,-3.558594,3.699219,-1.609375,5325,-55,-238,-831,8161,7378,8652,7787,-931.776245,-554.320007
3665,964,-649,-10409,-67,-165,359,0.001403,0.000865,-1.105482,0.017334,-0.027344,0.066406,-3.558594,3.699219,-1.609375,5325,-67,-284,-841,8149,7395,8662,7768,-931.776245,-554.319946
3666,1599,-1217,-5434,213,688,-95,0.001526,0.001160,-1.105565,0.085693,0.180908,-0.044434,-3.558594,3.699219,-1.609375,5325,-100,-424,-831,8163,7412,8664,7776,-931.776245,-554.319885
3667,-2064,509,-11835,-69,-257,-21,0.001526,0.001099,-1.105647,0.016846,-0.049805,-0.026367,-3.558594,3.699219,-1.609375,5325,-56,-272,-825,8143,7416,8658,7756,-931.776245,-554.319824
3668,-2332,363,-13414,-104,-1187,307,0.001587,0.000549,-1.105675,0.008301,-0.276855,0.053711,-3.558594,3.699219,-1.609375,5325,-45,-105,-832,8138,7408,8667,7768,-931.776245,-554.319763
3669,2588,-1229,-8095,172,-337,34,0.001709,0.000366,-1.105675,0.075684,-0.069336,-0.012939,-3.558594,3.699219,-1.609375,5325,-81,-224,-828,8117,7422,8664,7753,-931.776245,-554.319702
3670,1928,-297,-7474,-34,710,-333,0.001770,0.000732,-1.105811,0.025391,0.186279,-0.102539,-3.558594,3.699219,-1.609375,5325,-49,-394,-806,8123,7437,8664,7768,-931.776245,-554.319641
3671,-2396,1154,-11579,-693,-93,-117,0.001587,0.000793,-1.105948,-0.135498,-0.009766,-0.049805,-3.558594,3.699219,-1.609375,5325,51,-271,-792,8135,7438,8647,7750,-931.776245,-554.319580
3672,-2826,683,-9700,-804,-1283,95,0.001282,0.000244,-1.105948,-0.162598,-0.300293,0.001953,-3.558594,3.699219,-1.609375,5325,84,-67,-786,8137,7446,8660,7763,-931.776245,-554.319519
3673,3161,-570,-9454,-717,-544,89,0.000977,-0.000122,-1.105948,-0.141357,-0.119873,0.000488,-3.558594,3.699219,-1.609375,5325,90,-169,-780,8146,7475,8645,7757,-931.776245,-554.319458
3674,3161,-634,-11470,-734,1118,21,0.000672,0.000427,-1.106030,-0.145508,0.285889,-0.016113,-3.558594,3.699219,-1.609375,5325,108,-444,-770,8155,7461,8625,7768,-931.776245,-554.319397
3675,-2592,375,-9159,-884,980,47,0.000305,0.001038,-1.106030,-0.182129,0.252197,-0.009766,-3.558594,3.699219,-1.609375,5325,143,-448,-762,8157,7435,8600,7763,-931.776245,-554.319336
3676,-2469,-656,-7696,-603,-649,259,0.000061,0.000793,-1.106030,-0.113525,-0.145508,0.041992,-3.558594,3.699219,-1.609375,5325,114,-196,-764,8150,7439,8586,7777,-931.776245,-554.319275
3677,1731,-305,-9444,-316,-302,353,0.000000,0.000610,-1.105893,-0.043457,-0.060791,0.064941,-3.558594,3.699219,-1.609375,5325,78,-249,-772,8172,7443,8572,7796,-931.776245,-554.319214
3678,2142,143,-11888,-505,566,198,-0.000122,0.000916,-1.105811,-0.089600,0.151123,0.027100,-3.558594,3.699219,-1.609375,5325,106,-391,-774,8192,7449,8559,7800,-931.776245,-554.319153
3679,-1471,1320,-10498,-865,302,377,-0.000549,0.001038,-1.105675,-0.177490,0.086670,0.070801,-3.558594,3.699219,-1.609375,5325,162,-357,-785,8190,7434,8546,7812,-931.776245,-554.319092
3680,-1225,-139,-9589,-943,-383,575,-0.000916,0.000854,-1.105456,-0.196533,-0.080566,0.119141,-3.558594,3.699219,-1.609375,5325,182,-247,-807,8172,7431,8545,7825,-931.776245,-554.319031
3681,615,-590,-9763,-806,-257,331,-0.001282,0.000732,-1.105456,-0.163086,-0.049805,0.059570,-3.566406,3.699219,-1.597656,5325,172,-262,-820,8195,7409,8515,7839,-931.776245,-554.318970
3682,246,143,-9224,-788,41,71,-0.001526,0.000732,-1.105456,-0.158691,0.022949,-0.003906,-3.566406,3.699219,-1.597656,5325,177,-306,-822,8210,7407,8531,7862,-931.776245,-554.318909
3683,-519,605,-11487,-762,-119,276,-0.001892,0.000732,-1.105347,-0.152344,-0.016113,0.046143,-3.566406,3.699219,-1.597656,5325,179,-278,-833,8212,7388,8527,7862,-931.776245,-554.318848
3684,-194,-183,-12763,-640,-353,374,-0.002075,0.000549,-1.105265,-0.122559,-0.073242,0.070068,-3.566406,3.699219,-1.597656,5325,165,-236,-848,8191,7373,8504,7864,-931.776245,-554.318787
3685,548,-814,-11794,-350,-15,122,-0.002198,0.000549,-1.105265,-0.051758,0.009277,0.008545,-3.566406,3.699219,-1.597656,5325,122,-288,-852,8217,7352,8486,7885,-931.776245,-554.318726
3686,-179,-156,-5661,-128,150,-196,-0.002259,0.000549,-1.105320,0.002441,0.049561,-0.069092,-3.566406,3.699219,-1.597656,5325,84,-316,-841,8254,7353,8480,7900,-931.776245,-554.318665
3687,-1126,741,-8929,-137,-152,-34,-0.002258,0.000549,-1.105347,0.000244,-0.024170,-0.029541,-3.566406,3.699219,-1.597656,5325,76,-269,-835,8250,7359,8497,7889,-931.776245,-554.318604
3688,479,-21,-15319,-91,-276,113,-0.002197,0.000549,-1.105347,0.011475,-0.054443,0.006348,-3.566406,3.699219,-1.597656,5325,60,-248,-834,8253,7338,8478,7899,-931.776245,-554.318542
3689,1623,-419,-11047,2,265,-102,-0.002198,0.000610,-1.105456,0.034180,0.077637,-0.046143,-3.566406,3.699219,-1.597656,5325,37,-337,-822,8250,7347,8476,7885,-931.776245,-554.318481
3690,-1899,429,-2139,198,270,-276,-0.002014,0.000793,-1.105593,0.082031,0.078857,-0.088623,-3.566406,3.699219,-1.597656,5325,-1,-344,-801,8252,7332,8482,7895,-931.776245,-554.318420
3691,-1276,395,-10643,41,-612,-170,-0.001892,0.000610,-1.105811,0.043701,-0.136475,-0.062744,-3.566406,3.699219,-1.597656,5325,10,-199,-782,8244,7344,8482,7881,-931.776245,-554.318359
3692,455,-24,-18384,98,-856,13,-0.001709,0.000183,-1.105811,0.057617,-0.196045,-0.018066,-3.566406,3.699219,-1.597656,5325,-5,-145,-770,8244,7339,8474,7887,-931.776245,-554.318298
3693,2223,-222,-8383,331,309,30,-0.001587,0.000305,-1.105811,0.114502,0.088379,-0.013916,-3.566406,3.699219,-1.597656,5325,-47,-328,-759,8244,7347,8496,7876,-931.776245,-554.318237
3694,-996,-324,-304,595,442,-154,-0.001221,0.000610,-1.105948,0.178955,0.120850,-0.058838,-3.566406,3.699219,-1.597656,5325,-98,-357,-739,8235,7361,8497,7883,-931.776245,-554.318176
3695,-2342,-61,-11659,573,-588,-143,-0.000916,0.000366,-1.106084,0.173584,-0.130615,-0.056152,-3.566406,3.699219,-1.597656,5325,-109,-193,-719,8234,7371,8492,7875,-931.776245,-554.318115
3696,2049,114,-18176,435,-623,69,-0.000610,0.000122,-1.106084,0.139893,-0.139160,-0.004395,-3.566406,3.699219,-1.597656,5325,-102,-179,-708,8230,7365,8515,7855,-931.776245,-554.318054
3697,2900,429,-5973,549,708,411,-0.000244,0.000366,-1.105948,0.167725,0.185791,0.079102,-3.566406,3.699219,-1.597656,5325,-129,-397,-713,8224,7404,8511,7841,-931.776245,-554.317993
3698,-656,-663,-3031,625,1135,154,0.000061,0.000977,-1.105920,0.186279,0.290039,0.016357,-3.566406,3.687500,-1.597656,5325,-149,-488,-709,8188,7417,8533,7836,-931.776245,-554.317932
3699,-2607,-649,-13909,549,6,-93,0.000366,0.000977,-1.105920,0.167725,0.014404,-0.043945,-3.566406,3.687500,-1.597656,5325,-148,-323,-695,8155,7435,8546,7829,-931.776245,-554.317871
3700,-186,405,-13699,313,-523,207,0.000610,0.000793,-1.105920,0.110107,-0.114746,0.029297,-3.566406,3.687500,-1.597656,5325,-120,-237,-694,8165,7441,8542,7826,-931.776245,-554.317810
3701,1894,219,-4215,111,429,422,0.000794,0.000977,-1.105784,0.060791,0.117676,0.081787,-3.566406,3.687500,-1.597656,5325,-91,-390,-704,8166,7475,8555,7824,-931.776245,-554.317749
3702,-799,-46,-9899,-54,394,183,0.000794,0.001099,-1.105784,0.020508,0.109131,0.023438,-3.566406,3.687500,-1.597656,5325,-62,-389,-705,8120,7476,8571,7820,-931.776245,-554.317688
3703,-988,-429,-17772,-372,-224,54,0.000733,0.001099,-1.105784,-0.057129,-0.041748,-0.008057,-3.566406,3.687500,-1.597656,5325,-6,-291,-700,8093,7476,8564,7820,-931.776245,-554.317627
3704,287,326,-7124,-359,-228,363,0.000610,0.000977,-1.105647,-0.053955,-0.042725,0.067383,-3.566406,3.687500,-1.597656,5325,4,-286,-710,8094,7474,8571,7820,-931.776245,-554.317566
3705,659,156,-2690,-372,189,429,0.000549,0.001099,-1.105565,-0.057129,0.059082,0.083496,-3.566406,3.687500,-1.597656,5325,19,-350,-725,8072,7497,8593,7828,-931.776245,-554.317505
3706,-590,-424,-8429,-357,-170,159,0.000427,0.001099,-1.105565,-0.053467,-0.028564,0.017578,-3.566406,3.687500,-1.597656,5325,29,-290,-728,8065,7490,8581,7825,-931.776245,-554.317444
3707,-250,-290,-19875,-503,-697,124,0.000244,0.000793,-1.105565,-0.089111,-0.157227,0.009033,-3.566406,3.687500,-1.597656,5325,61,-194,-730,8074,7481,8589,7825,-931.776245,-554.317383
3708,843,170,-10730,-518,-209,387,0.000061,0.000732,-1.105347,-0.092773,-0.038086,0.073242,-3.566406,3.687500,-1.597656,5325,73,-263,-744,8068,7490,8584,7828,-931.776245,-554.317322
3709,-499,97,-771,-557,-180,372,-0.000122,0.000610,-1.105156,-0.102295,-0.031006,0.069580,-3.566406,3.687500,-1.597656,5325,90,-260,-758,8084,7487,8551,7837,-931.776245,-554.317261
3710,-521,12,-12106,-791,-751,71,-0.000488,0.000305,-1.105184,-0.159424,-0.170410,-0.003906,-3.566406,3.687500,-1.597656,5325,135,-158,-759,8079,7478,8555,7859,-931.776245,-554.317200
3711,976,114,-18833,-915,-666,183,-0.000854,-0.000000,-1.105184,-0.189697,-0.149658,0.023438,-3.566406,3.687500,-1.597656,5325,167,-158,-765,8105,7472,8535,7843,-931.776245,-554.317139
3712,1645,431,-7365,-808,47,581,-0.001099,0.000061,-1.105047,-0.163574,0.024414,0.120605,-3.566406,3.687500,-1.597656,5325,165,-269,-789,8125,7463,8532,7839,-931.776245,-554.317078
3713,34,-102,-2801,-812,150,392,-0.001465,0.000122,-1.104965,-0.164551,0.049561,0.074463,-3.566406,3.687500,-1.597656,5325,177,-290,-805,8140,7460,8505,7848,-931.776245,-554.317017
3714,-2199,-436,-12418,-889,-584,-15,-0.001831,-0.000122,-1.104965,-0.183350,-0.129639,-0.024902,-3.566406,3.687500,-1.597656,5325,198,-172,-804,8157,7454,8500,7847,-931.776245,-554.316956
3715,-1808,-361,-12913,-760,-1118,19,-0.002136,-0.000549,-1.104965,-0.151855,-0.260010,-0.016602,-3.566406,3.687500,-1.597656,5325,188,-72,-804,8187,7452,8511,7839,-931.776245,-554.316895
3716,1618,1041,-6241,-778,-246,296,-0.002441,-0.000732,-1.104965,-0.156250,-0.047119,0.051025,-3.566406,3.687500,-1.597656,5325,196,-202,-814,8212,7442,8459,7862,-931.776245,-554.316833
3717,843,705,-10046,-1063,209,47,-0.002869,-0.000610,-1.104965,-0.225830,0.063965,-0.009766,-3.566406,3.687500,-1.597656,5325,245,-278,-813,8223,7438,8458,7862,-931.776245,-554.316772
3718,-1052,-634,-13095,-1024,-128,-226,-0.003235,-0.000671,-1.104992,-0.216309,-0.018311,-0.076416,-3.566406,3.687500,-1.597656,5325,249,-231,-798,8244,7419,8454,7849,-931.776245,-554.316711
3719,-526,-488,-8683,-363,-799,-163,-0.003296,-0.000977,-1.105129,-0.054932,-0.182129,-0.061035,-3.566406,3.687500,-1.597656,5325,158,-120,-784,8283,7415,8437,7872,-931.776245,-554.316650
3720,3055,370,-8550,58,185,398,-0.003296,-0.000916,-1.105129,0.047852,0.058105,0.075928,-3.566406,3.687500,-1.597656,5325,91,-280,-794,8279,7416,8413,7864,-931.776245,-554.316589
3721,1726,-580,-9988,209,1558,191,-0.003113,-0.000183,-1.105129,0.084717,0.393311,0.025391,-3.566406,3.687500,-1.597656,5325,53,-527,-795,8277,7397,8416,7861,-931.776245,-554.316528
3722,-4826,-256,-7075,492,462,-324,-0.002808,0.000122,-1.105265,0.153809,0.125732,-0.100342,-3.566406,3.687500,-1.597656,5325,-7,-378,-773,8307,7378,8423,7871,-931.776245,-554.316467
3723,-2125,966,-9287,527,-1004,-102,-0.002503,-0.000366,-1.105320,0.162354,-0.232178,-0.046143,-3.566406,3.687500,-1.597656,5325,-34,-143,-759,8298,7368,8409,7889,-931.776245,-554.316406
3724,2430,1839,-13788,85,34,228,-0.002381,-0.000366,-1.105320,0.054443,0.021240,0.034424,-3.566406,3.687500,-1.597656,5325,11,-305,-759,8314,7384,8413,7882,-931.776245,-554.316345
3725,1478,100,-12759,-300,873,-237,-0.002503,0.000061,-1.105347,-0.039551,0.226074,-0.079102,-3.566406,3.687500,-1.597656,5325,60,-447,-738,8286,7379,8431,7868,-931.776245,-554.316284
3726,-1722,-95,-8088,-87,163,-337,-0.002503,0.000244,-1.105620,0.012451,0.052734,-0.103516,-3.566406,3.687500,-1.597656,5325,29,-343,-711,8274,7381,8453,7885,-931.776245,-554.316223
3727,-595,-226,-7522,438,-483,289,-0.002198,0.000061,-1.105593,0.140625,-0.104980,0.049316,-3.566406,3.687500,-1.597656,5325,-49,-238,-711,8255,7372,8457,7874,-931.776245,-554.316162
3728,1793,-500,-9824,690,47,394,-0.001831,0.000061,-1.105456,0.202148,0.024414,0.074951,-3.566406,3.687500,-1.597656,5325,-97,-319,-717,8239,7392,8454,7889,-931.776245,-554.316101
3729,841,-1119,-9923,1070,455,-113,-0.001221,0.000366,-1.105484,0.294922,0.124023,-0.048828,-3.566406,3.687500,-1.597656,5325,-172,-387,-702,8230,7382,8473,7877,-931.776245,-554.316040
3730,-2189,-234,-9362,1318,-760,-191,-0.000549,-0.000000,-1.105593,0.355469,-0.172607,-0.067871,-3.566406,3.687500,-1.597656,5325,-232,-183,-684,8201,7400,8503,7869,-931.776245,-554.315979
3731,-1645,612,-11543,1340,-1325,414,0.000183,-0.000671,-1.105565,0.360840,-0.310547,0.079834,-3.566406,3.687500,-1.597656,5325,-263,-68,-692,8165,7412,8503,7878,-931.776245,-554.315918
3732,3048,785,-13866,802,-185,289,0.000610,-0.000732,-1.105456,0.229492,-0.032227,0.049316,-3.566406,3.687500,-1.597656,5325,-206,-233,-696,8177,7432,8517,7864,-931.776245,-554.315857
3733,2142,514,-10174,283,673,-226,0.000855,-0.000366,-1.105484,0.102783,0.177246,-0.076416,-3.578125,3.687500,-1.597656,5325,-140,-375,-678,8152,7441,8522,7844,-931.776245,-554.315796
3734,-2898,1429,-7387,-41,-272,58,0.000855,-0.000366,-1.105593,0.023682,-0.053467,-0.007080,-3.578125,3.687500,-1.597656,5325,-88,-228,-672,8121,7462,8547,7808,-931.776245,-554.315735
3735,-656,-165,-11637,69,-856,625,0.000977,-0.000793,-1.105347,0.050537,-0.196045,0.131348,-3.578125,3.687500,-1.597656,5325,-93,-128,-692,8116,7496,8551,7812,-931.776245,-554.315674
3736,2740,-1293,-10713,416,616,226,0.001221,-0.000610,-1.105320,0.135254,0.163330,0.033936,-3.578125,3.687500,-1.597656,5325,-135,-367,-696,8107,7520,8538,7805,-931.776245,-554.315613
3737,189,-1664,-6130,889,991,-285,0.001770,-0.000000,-1.105347,0.250732,0.254883,-0.090820,-3.578125,3.687500,-1.597656,5325,-206,-445,-678,8098,7514,8554,7774,-931.776245,-554.315552
3738,-5057,143,-7469,932,-1067,61,0.002198,-0.000488,-1.105456,0.261230,-0.247559,-0.006348,-3.578125,3.687500,-1.597656,5325,-222,-114,-674,8096,7533,8576,7785,-931.776245,-554.315491
3739,-339,-36,-14460,802,-1381,374,0.002686,-0.001221,-1.105347,0.229492,-0.324219,0.070068,-3.578125,3.687500,-1.597656,5325,-216,-42,-684,8074,7552,8570,7782,-931.776245,-554.315430
3740,5161,-478,-11327,477,1013,-82,0.003052,-0.000732,-1.105347,0.150146,0.260254,-0.041260,-3.578125,3.687500,-1.597656,5325,-176,-425,-674,8063,7557,8577,7769,-931.776245,-554.315369
3741,-617,256,-5265,183,1521,-396,0.003235,0.000122,-1.105593,0.078369,0.384277,-0.117920,-3.578125,3.687500,-1.597656,5325,-134,-534,-649,8044,7566,8590,7744,-931.776245,-554.315308
3742,-5230,2005,-8970,-660,-503,-119,0.002991,-0.000000,-1.105811,-0.127441,-0.109863,-0.050293,-3.578125,3.687500,-1.597656,5325,-1,-223,-633,8040,7561,8573,7770,-931.776245,-554.315247
3743,1645,251,-15526,-1011,-1268,457,0.002503,-0.000732,-1.105675,-0.213135,-0.296631,0.090332,-3.578125,3.687500,-1.597656,5325,73,-86,-643,8030,7581,8574,7750,-931.776245,-554.315186
