counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y
3616,-1234,131,-10392,61,-196,-150,-0.000794,0.000610,-1.104801,0.048584,-0.034912,-0.057861,-3.546875,3.707031,-1.609375,5325,36,-265,-1003,8292,7283,8576,7804,-931.776245,-554.322937
3617,1003,-378,-16858,248,-287,78,-0.000549,0.000488,-1.104801,0.094238,-0.057129,-0.002197,-3.546875,3.707031,-1.609375,5325,-5,-247,-1002,8304,7254,8577,7805,-931.776245,-554.322876
3618,2342,-309,-14405,466,276,-85,-0.000366,0.000610,-1.104883,0.147461,0.080322,-0.041992,-3.546875,3.707031,-1.609375,5325,-54,-337,-992,8300,7267,8577,7782,-931.776245,-554.322815
3619,-583,70,-1999,688,540,-381,0.000122,0.000916,-1.105101,0.201660,0.144775,-0.114258,-3.546875,3.707031,-1.609375,5325,-107,-388,-967,8316,7267,8590,7800,-931.776245,-554.322754
3620,-2223,1090,-7578,340,-573,-228,0.000305,0.000671,-1.105293,0.116699,-0.126953,-0.076904,-3.546875,3.707031,-1.609375,5325,-76,-207,-946,8315,7265,8587,7801,-931.776245,-554.322693
3621,270,768,-19126,141,-623,19,0.000488,0.000366,-1.105293,0.068115,-0.139160,-0.016602,-3.546875,3.707031,-1.609375,5325,-60,-188,-935,8302,7270,8602,7769,-931.776245,-554.322632
3622,3513,-402,-11485,287,573,56,0.000610,0.000610,-1.105320,0.103760,0.152832,-0.007568,-3.546875,3.707031,-1.609375,5325,-88,-379,-925,8313,7281,8611,7775,-931.776245,-554.322571
3623,-238,-134,-577,453,924,-45,0.000855,0.001160,-1.105429,0.144287,0.238525,-0.032227,-3.546875,3.707031,-1.609375,5325,-119,-451,-911,8288,7281,8618,7779,-931.776245,-554.322510
3624,-3653,-136,-8388,468,-459,-119,0.001160,0.001038,-1.105456,0.147949,-0.099121,-0.050293,-3.546875,3.707031,-1.609375,5325,-131,-235,-894,8265,7304,8619,7768,-931.776245,-554.322449
3625,275,-95,-17429,547,-884,61,0.001526,0.000488,-1.105593,0.167236,-0.202881,-0.006348,-3.546875,3.707031,-1.609375,5325,-152,-154,-885,8257,7309,8638,7765,-931.776245,-554.322388
3626,2275,275,-7179,592,154,178,0.001892,0.000610,-1.105593,0.178223,0.050537,0.022217,-3.546875,3.707031,-1.609375,5325,-168,-312,-882,8247,7332,8648,7747,-931.776245,-554.322327
3627,250,146,-4631,329,113,139,0.002075,0.000732,-1.105593,0.114014,0.040527,0.012695,-3.546875,3.707031,-1.609375,5325,-138,-304,-878,8238,7348,8633,7738,-931.776245,-554.322266
