counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
29,-1055,-2113,-4573,734,420,-246,-0.000549,0.017152,-1.596802,0.213135,0.116699,-0.051270,-2.359375,2.449219,-1.867188,5400,-88,-230,-512,8234,7699,8394,7910,-75.479256,53.313217,0.000000,0.000000
30,-2528,-578,-13953,1048,-544,-320,0.000061,0.016908,-1.596986,0.289795,-0.118652,-0.069336,-2.359375,2.449219,-1.867188,5400,-157,-74,-503,8235,7706,8373,7941,-75.479263,53.313694,0.000000,0.000000
31,-329,1476,-14071,651,-1022,19,0.000488,0.016419,-1.596986,0.192871,-0.235352,0.013428,-2.359375,2.449219,-1.867188,5400,-126,19,-508,8235,7691,8363,7939,-75.479271,53.314171,0.000000,0.000000
32,2140,1529,-7273,-222,-246,-30,0.000427,0.016358,-1.596802,-0.020264,-0.045898,0.001465,-2.359375,2.449219,-1.867188,5400,-13,-90,-512,8236,7706,8389,7923,-75.479279,53.314648,0.000000,0.000000
33,937,902,-10771,-858,263,-348,0.000122,0.016419,-1.596864,-0.175537,0.078369,-0.076172,-2.359375,2.449219,-1.867188,5400,85,-170,-501,8236,7725,8396,7919,-75.479286,53.315125,0.000000,0.000000
34,-273,431,-14451,-1050,-45,-174,-0.000366,0.016480,-1.596864,-0.222412,0.003174,-0.033691,-2.359375,2.449219,-1.867188,5400,133,-125,-498,8232,7731,8390,7928,-75.479294,53.315605,0.000000,0.000000
35,1530,-361,-7663,-863,32,224,-0.000733,0.016480,-1.596864,-0.176758,0.021973,0.063477,-2.359375,2.449219,-1.867188,5400,129,-142,-512,8227,7740,8378,7900,-75.479301,53.316086,0.000000,0.000000
36,956,-1866,-3132,-257,686,23,-0.000794,0.016847,-1.596802,-0.028809,0.181641,0.014404,-2.359375,2.449219,-1.867188,5400,56,-260,-519,8225,7745,8389,7917,-75.479309,53.316566,0.000000,0.000000
37,-2324,-1590,-10921,499,287,-309,-0.000488,0.017091,-1.596802,0.155762,0.084229,-0.066650,-2.359375,2.449219,-1.867188,5400,-53,-208,-511,8227,7738,8373,7923,-75.479317,53.317047,0.000000,0.000000
38,-1985,-146,-14245,917,-765,-189,0.000000,0.016724,-1.596802,0.257812,-0.172607,-0.037354,-2.359375,2.449219,-1.867188,5400,-131,-35,-508,8226,7724,8388,7930,-75.479324,53.317528,0.000000,0.000000
39,1955,841,-8238,656,-398,74,0.000366,0.016480,-1.596802,0.194092,-0.083008,0.026855,-2.359375,2.449219,-1.867188,5400,-117,-83,-517,8195,7730,8376,7915,-75.479332,53.318008,0.000000,0.000000
40,2558,941,-6454,163,433,-30,0.000549,0.016724,-1.596802,0.073730,0.119873,0.001465,-2.359375,2.449219,-1.867188,5400,-62,-216,-521,8217,7713,8362,7913,-75.479340,53.318489,0.000000,0.000000
41,634,729,-10943,-438,743,-244,0.000427,0.017152,-1.596802,-0.072998,0.195557,-0.050781,-2.359375,2.449219,-1.867188,5400,22,-280,-516,8218,7728,8394,7933,-75.479347,53.318970,0.000000,0.000000
42,-1864,814,-13211,-690,-93,-58,0.000183,0.017213,-1.596681,-0.134521,-0.008545,-0.005371,-2.359375,2.449219,-1.867188,5400,69,-154,-519,8218,7733,8401,7929,-75.479355,53.319450,0.000000,0.000000
43,1048,500,-8610,-784,-34,189,-0.000183,0.017152,-1.596619,-0.157471,0.005859,0.054932,-2.359375,2.449219,-1.867188,5400,99,-166,-533,8184,7716,8385,7914,-75.479362,53.319931,0.000000,0.000000
44,1311,-878,-6128,-533,516,-56,-0.000366,0.017396,-1.596619,-0.096191,0.140137,-0.004883,-2.359375,2.449219,-1.867188,5400,79,-260,-538,8204,7719,8408,7926,-75.479370,53.320412,0.000000,0.000000
45,-2150,-1708,-12050,154,-183,-309,-0.000305,0.017396,-1.596619,0.071533,-0.030518,-0.066650,-2.359375,2.449219,-1.867188,5400,-13,-148,-531,8203,7732,8419,7927,-75.479378,53.320892,0.000000,0.000000
46,-1613,-932,-12396,666,-974,-132,0.000183,0.016969,-1.596681,0.196533,-0.223633,-0.023438,-2.359375,2.449219,-1.867188,5400,-96,-6,-531,8177,7696,8395,7932,-75.479385,53.321373,0.000000,0.000000
47,1931,129,-7974,470,-246,-34,0.000427,0.016785,-1.596619,0.148682,-0.045898,0.000488,-2.359375,2.449219,-1.867188,5400,-84,-109,-535,8199,7722,8414,7918,-75.479393,53.321854,0.000000,0.000000
48,1813,824,-9299,15,156,-224,0.000549,0.016847,-1.596619,0.037598,0.052246,-0.045898,-2.347656,2.457031,-1.878906,5400,-31,-169,-531,8207,7720,8390,7916,-75.479401,53.322334,0.000000,0.000000
49,-130,1159,-14086,-276,-329,-117,0.000488,0.016847,-1.596681,-0.033447,-0.066162,-0.019775,-2.347656,2.457031,-1.878906,5400,8,-88,-531,8207,7710,8408,7935,-75.479408,53.322815,0.000000,0.000000
50,1252,666,-10525,-475,-15,320,0.000305,0.016847,-1.596619,-0.082031,0.010498,0.086914,-2.347656,2.457031,-1.878906,5400,43,-140,-551,8181,7714,8425,7926,-75.479408,53.323296,0.000000,0.000000
51,1690,-441,-5560,-610,710,329,0.000125,0.017180,-1.596457,-0.114990,0.187500,0.089111,-2.347656,2.457031,-1.878906,5400,74,-267,-573,8198,7716,8424,7925,-75.479408,53.323776,0.000000,0.000000
52,-2226,-1056,-8712,-466,501,-87,-0.000061,0.017457,-1.596253,-0.079834,0.136475,-0.012451,-2.347656,2.457031,-1.878906,5400,64,-249,-579,8206,7702,8401,7914,-75.479408,53.324257,0.000000,0.000000
53,-3271,-161,-12043,-106,-928,-156,0.000000,0.017091,-1.596253,0.008057,-0.212402,-0.029297,-2.347656,2.457031,-1.878906,5400,18,-15,-582,8213,7710,8421,7916,-75.479408,53.324738,0.000000,0.000000
54,1232,-161,-11129,91,-948,161,0.000061,0.016602,-1.596253,0.056152,-0.217285,0.048096,-2.347656,2.457031,-1.878906,5400,-11,6,-599,8199,7722,8422,7905,-75.479408,53.325218,0.000000,0.000000
55,2966,-146,-9860,-45,183,69,0.000122,0.016663,-1.596192,0.022949,0.058838,0.025635,-2.347656,2.457031,-1.878906,5400,3,-164,-612,8218,7697,8408,7910,-75.479408,53.325699,0.000000,0.000000
56,-819,-141,-11199,-235,366,-298,0.000061,0.016969,-1.596253,-0.023438,0.103516,-0.063965,-2.347656,2.457031,-1.878906,5400,27,-199,-609,8218,7710,8417,7919,-75.479408,53.326180,0.000000,0.000000
57,-1931,485,-8049,-246,-688,-178,0.000000,0.016724,-1.596192,-0.026123,-0.153809,-0.034668,-2.347656,2.457031,-1.878906,5400,30,-28,-610,8225,7690,8424,7892,-75.479408,53.326660,0.000000,0.000000
58,2049,117,-8344,-318,-329,-26,-0.000061,0.016480,-1.596192,-0.043701,-0.066162,0.002441,-2.347656,2.457031,-1.878906,5400,43,-81,-617,8236,7710,8409,7898,-75.479408,53.327145,0.000000,0.000000
59,1532,-273,-11332,-414,564,-250,-0.000183,0.016785,-1.596192,-0.067139,0.151855,-0.052246,-2.347656,2.457031,-1.878906,5400,61,-229,-613,8239,7686,8409,7883,-75.479408,53.327629,0.000000,0.000000
60,-2516,-280,-10764,-283,143,-505,-0.000305,0.016908,-1.596436,-0.035156,0.049072,-0.114502,-2.347656,2.457031,-1.878906,5400,46,-170,-596,8238,7704,8392,7891,-75.479408,53.328114,0.000000,0.000000
61,-3136,-134,-8156,-54,-677,-363,-0.000244,0.016663,-1.596558,0.020752,-0.151123,-0.079834,-2.347656,2.457031,-1.878906,5400,14,-37,-584,8240,7693,8412,7882,-75.479408,53.328598,0.000000,0.000000
62,984,-536,-9188,4,-462,-257,-0.000122,0.016358,-1.596558,0.034912,-0.098633,-0.053955,-2.347656,2.457031,-1.878906,5400,2,-62,-574,8276,7701,8415,7890,-75.479408,53.329082,0.000000,0.000000
63,2654,195,-12510,-183,479,-401,-0.000183,0.016602,-1.596681,-0.010742,0.131104,-0.089111,-2.347656,2.457031,-1.878906,5400,25,-215,-557,8269,7692,8384,7898,-75.479408,53.329567,0.000000,0.000000
64,-450,409,-10670,-174,329,-425,-0.000183,0.016847,-1.596864,-0.008545,0.094482,-0.094971,-2.347656,2.457031,-1.878906,5400,23,-201,-538,8261,7675,8415,7898,-75.479408,53.330051,0.000000,0.000000
65,-1131,324,-7218,-8,-518,10,-0.000183,0.016602,-1.596864,0.031982,-0.112305,0.011230,-2.347656,2.468750,-1.878906,5400,-1,-67,-537,8254,7692,8417,7879,-75.479408,53.330536,0.000000,0.000000
66,2391,-575,-10638,102,111,167,-0.000061,0.016663,-1.596864,0.058838,0.041260,0.049561,-2.347656,2.468750,-1.878906,5400,-21,-169,-545,8274,7680,8396,7894,-75.479408,53.331020,0.000000,0.000000
67,1515,-451,-11035,98,976,-111,0.000122,0.017152,-1.596681,0.057861,0.252441,-0.018311,-2.347656,2.468750,-1.878906,5400,-26,-322,-543,8265,7693,8409,7888,-75.479408,53.331505,0.000000,0.000000
68,-3557,444,-6142,163,-350,-172,0.000183,0.017030,-1.596681,0.073730,-0.071289,-0.033203,-2.347656,2.468750,-1.878906,5400,-42,-114,-539,8261,7682,8398,7892,-75.479408,53.331989,0.000000,0.000000
69,-1803,251,-9700,226,-1418,198,0.000427,0.016419,-1.596619,0.089111,-0.332031,0.057129,-2.347656,2.468750,-1.878906,5400,-58,74,-553,8251,7671,8412,7884,-75.479408,53.332474,0.000000,0.000000
70,3392,17,-15430,80,-167,174,0.000549,0.016297,-1.596558,0.053467,-0.026611,0.051270,-2.347656,2.468750,-1.878906,5400,-43,-110,-567,8248,7698,8409,7894,-75.479408,53.332958,0.000000,0.000000
71,2354,-153,-11854,-102,1061,-150,0.000488,0.016847,-1.596558,0.009033,0.273193,-0.027832,-2.347656,2.468750,-1.878906,5400,-19,-315,-568,8245,7683,8406,7886,-75.479408,53.333443,0.000000,0.000000
72,-2851,290,-3812,-80,-87,-148,0.000549,0.016847,-1.596558,0.014404,-0.007080,-0.027344,-2.347656,2.468750,-1.878906,5400,-21,-141,-569,8234,7702,8424,7890,-75.479408,53.333927,0.000000,0.000000
73,-1380,-500,-8866,8,-817,-45,0.000610,0.016541,-1.596436,0.035889,-0.185303,-0.002197,-2.347656,2.468750,-1.878906,5400,-32,-20,-575,8233,7711,8429,7902,-75.479408,53.334412,0.000000,0.000000
74,1633,-53,-14115,54,-429,-263,0.000671,0.016358,-1.596436,0.047119,-0.090576,-0.055420,-2.347656,2.468750,-1.878906,5400,-40,-70,-570,8234,7709,8402,7890,-75.479408,53.334896,0.000000,0.000000
75,196,102,-11378,2,63,-547,0.000733,0.016358,-1.596681,0.034424,0.029541,-0.124756,-2.347656,2.468750,-1.878906,5400,-33,-143,-552,8230,7712,8415,7866,-75.479408,53.335381,0.000000,0.000000
76,-1102,285,-6942,32,-677,-237,0.000855,0.016175,-1.596802,0.041748,-0.151123,-0.049072,-2.347656,2.468750,-1.878906,5400,-39,-17,-545,8226,7699,8427,7887,-75.479408,53.335865,0.000000,0.000000
77,1741,-695,-12727,287,-917,54,0.001099,0.015687,-1.596801,0.104004,-0.209717,0.021973,-2.347656,2.468750,-1.878906,5400,-79,35,-550,8197,7735,8424,7869,-75.479408,53.336349,0.000000,0.000000
78,3412,-261,-11806,305,586,-150,0.001282,0.015870,-1.596681,0.108398,0.157227,-0.027832,-2.347656,2.468750,-1.878906,5400,-88,-207,-548,8212,7727,8399,7861,-75.479408,53.336834,0.000000,0.000000
79,-1030,341,-3858,82,1233,-333,0.001404,0.016602,-1.596681,0.053955,0.315186,-0.072510,-2.347656,2.468750,-1.878906,5400,-61,-335,-537,8220,7732,8429,7844,-75.479408,53.337318,0.000000,0.000000
80,-4189,492,-6901,-235,-496,-98,0.001282,0.016480,-1.596802,-0.023438,-0.106934,-0.015137,-2.347656,2.468750,-1.878906,5400,-15,-69,-536,8217,7757,8431,7860,-75.479408,53.337803,0.000000,0.000000
81,482,202,-16945,-326,-1194,-39,0.001282,0.015809,-1.596802,-0.045654,-0.277344,-0.000732,-2.347656,2.468750,-1.878906,5400,2,53,-538,8223,7757,8401,7860,-75.479408,53.338287,0.000000,0.000000
82,2408,-73,-17144,-444,-191,-259,0.001160,0.015687,-1.596864,-0.074463,-0.032471,-0.054443,-2.347656,2.468750,-1.878906,5400,28,-93,-530,8233,7756,8414,7849,-75.479408,53.338772,0.000000,0.000000
83,-1126,344,-4428,-542,300,-274,0.000916,0.015931,-1.596864,-0.098389,0.087402,-0.058105,-2.347656,2.468750,-1.878906,5400,53,-171,-521,8234,7749,8427,7842,-75.479408,53.339256,0.000000,0.000000
84,-2132,-26,-5584,-374,-756,-52,0.000733,0.015626,-1.596862,-0.057373,-0.170410,-0.003906,-2.347656,2.468750,-1.878906,5400,38,2,-522,8225,7755,8430,7838,-75.479408,53.339745,0.000000,0.000000
85,757,-1315,-12846,239,-950,56,0.000916,0.015259,-1.596862,0.092285,-0.217773,0.022461,-2.347656,2.468750,-1.878906,5400,-47,47,-528,8228,7750,8409,7861,-75.479408,53.340233,0.000000,0.000000
86,3495,-878,-10344,533,795,-213,0.001282,0.015565,-1.596862,0.164062,0.208252,-0.043213,-2.347656,2.468750,-1.878906,5400,-99,-237,-523,8233,7763,8412,7856,-75.479408,53.340721,0.000000,0.000000
87,-1239,278,-3323,283,958,-272,0.001465,0.016053,-1.596986,0.103027,0.248047,-0.057617,-2.347656,2.468750,-1.878906,5400,-76,-284,-516,8232,7762,8387,7850,-75.479408,53.341209,0.000000,0.000000
88,-4118,680,-9969,-21,-917,-128,0.001526,0.015748,-1.596862,0.028809,-0.209717,-0.022461,-2.347656,2.468750,-1.878906,5400,-41,11,-514,8229,7766,8406,7848,-75.479408,53.341698,0.000000,0.000000
89,833,366,-17801,-93,-823,-146,0.001587,0.015259,-1.596862,0.011230,-0.186768,-0.026855,-2.347656,2.468750,-1.878906,5400,-32,7,-511,8231,7754,8403,7843,-75.479408,53.342186,0.000000,0.000000
90,3653,868,-10462,-507,1150,-350,0.001343,0.015809,-1.597047,-0.089844,0.294922,-0.076660,-2.347656,2.468750,-1.878906,5400,30,-315,-499,8232,7772,8395,7860,-75.479408,53.342674,0.000000,0.000000
91,-747,736,-4312,-967,961,-274,0.000977,0.016419,-1.597108,-0.202148,0.248779,-0.058105,-2.347656,2.468750,-1.878906,5400,109,-307,-489,8206,7778,8377,7857,-75.479408,53.343163,0.000000,0.000000
92,-2290,-705,-12234,-675,-671,-21,0.000733,0.016114,-1.597108,-0.130859,-0.149658,0.003662,-2.347656,2.468750,-1.878906,5400,84,-52,-490,8211,7768,8398,7854,-75.479408,53.343651,0.000000,0.000000
93,1704,-1173,-12887,-21,-233,-50,0.000794,0.015992,-1.597047,0.028809,-0.042725,-0.003418,-2.347656,2.468750,-1.878906,5400,0,-119,-491,8216,7739,8377,7876,-75.479408,53.344139,0.000000,0.000000
94,2159,-458,-5236,141,1168,-261,0.000977,0.016480,-1.597047,0.068359,0.299316,-0.054932,-2.347656,2.468750,-1.878906,5400,-27,-354,-482,8216,7732,8399,7870,-75.479408,53.344627,0.000000,0.000000
95,-2698,114,-6483,43,588,-231,0.001038,0.016847,-1.597108,0.044434,0.157715,-0.047607,-2.347656,2.468750,-1.878906,5400,-22,-276,-475,8220,7749,8409,7885,-75.479408,53.345116,0.000000,0.000000
96,-2061,-678,-16005,244,-1209,-61,0.001160,0.016358,-1.597108,0.093506,-0.281006,-0.006104,-2.347656,2.468750,-1.878906,5400,-59,19,-475,8199,7744,8395,7883,-75.479408,53.345604,0.000000,0.000000
97,3252,87,-12256,353,-542,-54,0.001465,0.016053,-1.597108,0.120117,-0.118164,-0.004395,-2.347656,2.468750,-1.878906,5400,-86,-69,-475,8204,7720,8407,7899,-75.479408,53.346092,0.000000,0.000000
98,2275,1359,-5584,-187,1342,-150,0.001465,0.016663,-1.597108,-0.011719,0.341797,-0.027832,-2.347656,2.468750,-1.878906,5400,-16,-377,-472,8207,7720,8383,7912,-75.479408,53.346581,0.000000,0.000000
99,-2108,946,-11252,-741,751,-54,0.001099,0.017091,-1.597108,-0.146973,0.197510,-0.004395,-2.347656,2.468750,-1.878906,5400,67,-300,-474,8182,7737,8402,7913,-75.479408,53.347069,0.000000,0.000000
100,-1212,-902,-14862,-435,-717,87,0.000916,0.016847,-1.597047,-0.072266,-0.160889,0.030029,-2.339844,2.476562,-1.886719,5400,34,-66,-482,8184,7738,8403,7913,-75.479408,53.347557,0.000000,0.000000
101,2455,-861,-5787,-4,-50,-4,0.000977,0.016785,-1.597047,0.032959,0.001953,0.007812,-2.339844,2.476562,-1.886719,5400,-22,-168,-488,8175,7717,8409,7915,-75.479408,53.348045,0.000000,0.000000
102,14,53,-5816,-43,723,-213,0.001099,0.017152,-1.596986,0.023438,0.190674,-0.043213,-2.339844,2.476562,-1.886719,5400,-18,-294,-484,8183,7721,8416,7922,-75.479408,53.348534,0.000000,0.000000
103,-3190,-409,-14182,26,-499,-255,0.001160,0.017091,-1.597048,0.040283,-0.107666,-0.053467,-2.339844,2.476562,-1.886719,5400,-32,-94,-479,8155,7714,8410,7936,-75.479408,53.349022,0.000000,0.000000
104,-2263,-822,-15635,405,-1495,-220,0.001404,0.016236,-1.597108,0.132812,-0.350830,-0.044922,-2.339844,2.476562,-1.886719,5400,-94,90,-473,8171,7714,8414,7944,-75.479408,53.349510,0.000000,0.000000
105,2219,119,-7602,438,-634,-235,0.001709,0.016053,-1.597230,0.140869,-0.140625,-0.048584,-2.339844,2.476562,-1.886719,5400,-111,-22,-466,8168,7719,8389,7945,-75.479408,53.349998,0.000000,0.000000
106,2418,1202,-6360,-307,699,-322,0.001648,0.016358,-1.597291,-0.041016,0.184814,-0.069824,-2.339844,2.476562,-1.886719,5400,-11,-234,-454,8175,7733,8403,7942,-75.479408,53.350487,0.000000,0.000000
107,-1414,702,-13302,-808,4,-311,0.001282,0.016419,-1.597291,-0.163330,0.015137,-0.066895,-2.339844,2.476562,-1.886719,5400,66,-129,-442,8162,7735,8416,7925,-75.479408,53.350975,0.000000,0.000000
108,-1264,-639,-12558,-446,-932,-130,0.001099,0.015931,-1.597291,-0.074951,-0.213379,-0.022705,-2.339844,2.476562,-1.886719,5400,28,26,-437,8154,7745,8389,7934,-75.479408,53.351463,0.000000,0.000000
109,2450,-161,-4655,-311,82,-54,0.001099,0.015992,-1.597291,-0.041992,0.034180,-0.004150,-2.339844,2.476562,-1.886719,5400,17,-133,-436,8174,7756,8400,7924,-75.479408,53.351952,0.000000,0.000000
110,1417,292,-8221,-527,937,-189,0.000855,0.016541,-1.597413,-0.094727,0.242920,-0.037109,-2.339844,2.476562,-1.886719,5400,54,-284,-429,8187,7759,8391,7896,-75.479408,53.352440,0.000000,0.000000
111,-2398,-666,-14697,-263,-172,-228,0.000794,0.016541,-1.597474,-0.030273,-0.027832,-0.046631,-2.339844,2.476562,-1.886719,5400,21,-116,-420,8178,7766,8396,7921,-75.479408,53.352928,0.000000,0.000000
112,-1889,-1071,-9171,255,-1288,-119,0.000977,0.015931,-1.597474,0.096191,-0.300293,-0.020020,-2.339844,2.476562,-1.886719,5400,-54,74,-416,8186,7766,8387,7920,-75.479408,53.353416,0.000000,0.000000
113,2393,187,-6601,39,-150,13,0.001038,0.015870,-1.597413,0.043457,-0.022461,0.012207,-2.339844,2.476562,-1.886719,5400,-31,-96,-419,8170,7773,8372,7911,-75.479408,53.353905,0.000000,0.000000
114,2088,1324,-11840,-645,987,-67,0.000794,0.016297,-1.597413,-0.123535,0.255127,-0.007324,-2.339844,2.476562,-1.886719,5400,64,-288,-418,8187,7761,8368,7912,-75.479408,53.354397,0.000000,0.000000
115,-1970,95,-13796,-579,65,-67,0.000672,0.016480,-1.597413,-0.107422,0.030029,-0.007324,-2.339844,2.476562,-1.886719,5400,62,-153,-419,8192,7773,8373,7917,-75.479408,53.354889,0.000000,0.000000
116,-1131,-517,-6488,-250,-919,185,0.000549,0.015992,-1.597291,-0.027100,-0.210205,0.054199,-2.339844,2.476562,-1.886719,5400,22,8,-431,8186,7783,8359,7932,-75.479408,53.355381,0.000000,0.000000
117,2497,-165,-7046,-446,477,209,0.000427,0.016175,-1.597230,-0.074951,0.130615,0.060059,-2.347656,2.488281,-1.886719,5400,54,-217,-446,8189,7780,8323,7939,-75.479408,53.355873,0.000000,0.000000
