counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
0,-1050,-41,-8366,-37,-496,32,0.000733,0.016663,-1.597230,0.024902,-0.106934,0.016602,-2.347656,2.437500,-1.859375,5400,4,-88,-504,8204,7713,8418,7902,-75.479034,53.299423,0.000000,0.000000
1,-1050,-41,-8366,-37,-496,32,0.000733,0.016663,-1.597230,0.024902,-0.106934,0.016602,-2.347656,2.437500,-1.859375,5400,0,-76,-510,8209,7696,8420,7919,-75.479042,53.299896,0.000000,0.000000
2,1699,678,-10491,-313,17,146,0.000549,0.016663,-1.596681,-0.042480,0.018311,0.044434,-2.347656,2.437500,-1.859375,5400,38,-149,-522,8211,7708,8426,7909,-75.479050,53.300369,0.000000,0.000000
3,-388,-292,-11112,-359,309,-128,0.000427,0.016847,-1.596681,-0.053711,0.089600,-0.022461,-2.347656,2.437500,-1.859375,5400,46,-197,-523,8199,7686,8402,7912,-75.479057,53.300842,0.000000,0.000000
4,-587,117,-7157,-257,-178,167,0.000427,0.016847,-1.596681,-0.028809,-0.029297,0.049561,-2.347656,2.437500,-1.859375,5400,34,-119,-538,8204,7677,8415,7918,-75.479065,53.301315,0.000000,0.000000
5,317,-239,-9115,-359,67,45,0.000244,0.016847,-1.596619,-0.053711,0.030518,0.019775,-2.347656,2.437500,-1.859375,5400,51,-160,-549,8210,7696,8417,7939,-75.479073,53.301788,0.000000,0.000000
6,218,-509,-12164,-390,241,-302,0.000122,0.016969,-1.596619,-0.061279,0.072998,-0.064941,-2.347656,2.437500,-1.859375,5400,59,-191,-544,8216,7705,8409,7934,-75.479080,53.302261,0.000000,0.000000
7,-622,87,-11100,-316,28,-357,0.000061,0.017030,-1.596681,-0.043213,0.020996,-0.078369,-2.347656,2.437500,-1.859375,5400,51,-160,-536,8220,7691,8411,7942,-75.479088,53.302734,0.000000,0.000000
8,-644,880,-9488,-422,-468,-126,-0.000061,0.016847,-1.596802,-0.069092,-0.100098,-0.021973,-2.347656,2.437500,-1.859375,5400,69,-75,-536,8204,7701,8388,7945,-75.479095,53.303207,0.000000,0.000000
9,509,80,-9749,-581,-616,-183,-0.000366,0.016602,-1.596864,-0.107910,-0.136230,-0.035889,-2.347656,2.437500,-1.859375,5400,96,-38,-532,8214,7693,8403,7930,-75.479103,53.303680,0.000000,0.000000
10,1699,-805,-11407,-409,-150,-435,-0.000427,0.016541,-1.597047,-0.065918,-0.022461,-0.097412,-2.347656,2.437500,-1.859375,5400,77,-104,-517,8225,7698,8393,7922,-75.479111,53.304157,0.000000,0.000000
11,1107,-363,-10977,-52,102,-78,-0.000366,0.016541,-1.596986,0.021240,0.039062,-0.010254,-2.347656,2.437500,-1.859375,5400,26,-144,-516,8230,7689,8398,7920,-75.479118,53.304634,0.000000,0.000000
12,228,119,-7520,167,141,296,-0.000244,0.016663,-1.596802,0.074707,0.048584,0.081055,-2.347656,2.437500,-1.859375,5400,-11,-156,-533,8235,7674,8382,7944,-75.479126,53.305111,0.000000,0.000000
13,-186,-407,-6468,309,350,-47,-0.000061,0.016908,-1.596802,0.109375,0.099609,-0.002686,-2.347656,2.437500,-1.859375,5400,-43,-199,-536,8238,7699,8376,7932,-75.479134,53.305588,0.000000,0.000000
14,-1328,-102,-10890,276,117,-333,0.000122,0.016969,-1.596864,0.101318,0.042725,-0.072510,-2.359375,2.449219,-1.867188,5400,-50,-170,-527,8262,7682,8382,7939,-75.479141,53.306065,0.000000,0.000000
15,-747,1151,-13319,-89,-472,-39,0.000244,0.016785,-1.596864,0.012207,-0.101074,-0.000732,-2.359375,2.449219,-1.867188,5400,-7,-73,-530,8254,7699,8373,7937,-75.479149,53.306541,0.000000,0.000000
16,-204,1417,-10317,-653,-551,82,0.000000,0.016541,-1.596864,-0.125488,-0.120361,0.028809,-2.359375,2.449219,-1.867188,5400,75,-50,-539,8251,7694,8367,7937,-75.479156,53.307018,0.000000,0.000000
17,373,-143,-7452,-845,-309,-316,-0.000427,0.016419,-1.596681,-0.172363,-0.061279,-0.068359,-2.359375,2.449219,-1.867188,5400,115,-79,-531,8247,7709,8384,7918,-75.479164,53.307495,0.000000,0.000000
18,681,-641,-11431,-645,-326,-422,-0.000610,0.016297,-1.596802,-0.123535,-0.065430,-0.094238,-2.359375,2.449219,-1.867188,5400,100,-68,-517,8245,7697,8371,7914,-75.479172,53.307972,0.000000,0.000000
19,674,-439,-13085,-287,-318,-74,-0.000733,0.016236,-1.596864,-0.036133,-0.063477,-0.009277,-2.359375,2.449219,-1.867188,5400,58,-65,-517,8241,7709,8356,7927,-75.479179,53.308449,0.000000,0.000000
20,1591,-485,-9676,170,122,224,-0.000610,0.016297,-1.596802,0.075439,0.043945,0.063477,-2.359375,2.449219,-1.867188,5400,-7,-138,-531,8244,7702,8356,7897,-75.479187,53.308926,0.000000,0.000000
21,1532,-1451,-4742,494,867,-148,-0.000244,0.016663,-1.596802,0.154541,0.225830,-0.027344,-2.359375,2.449219,-1.867188,5400,-65,-274,-529,8247,7711,8385,7918,-75.479195,53.309402,0.000000,0.000000
22,-1576,-771,-9108,647,464,-394,0.000061,0.016969,-1.596802,0.191895,0.127441,-0.087402,-2.359375,2.449219,-1.867188,5400,-105,-229,-517,8250,7719,8377,7905,-75.479202,53.309879,0.000000,0.000000
23,-1963,1376,-14306,196,-390,-128,0.000244,0.016785,-1.596864,0.081787,-0.081055,-0.022461,-2.359375,2.449219,-1.867188,5400,-55,-97,-515,8244,7697,8370,7912,-75.479210,53.310356,0.000000,0.000000
24,260,2071,-11013,-605,-346,-74,0.000061,0.016663,-1.596864,-0.113770,-0.070312,-0.009277,-2.359375,2.449219,-1.867188,5400,56,-99,-515,8242,7710,8377,7926,-75.479218,53.310833,0.000000,0.000000
25,829,375,-7711,-1074,26,-377,-0.000427,0.016724,-1.597048,-0.228271,0.020508,-0.083252,-2.359375,2.449219,-1.867188,5400,137,-154,-502,8242,7726,8376,7920,-75.479225,53.311310,0.000000,0.000000
26,538,-126,-13024,-1000,-170,-283,-0.000794,0.016602,-1.597108,-0.210205,-0.027344,-0.060303,-2.359375,2.449219,-1.867188,5400,149,-119,-491,8237,7727,8370,7894,-75.479233,53.311787,0.000000,0.000000
27,1057,-131,-13090,-544,-146,261,-0.000977,0.016602,-1.596864,-0.098877,-0.021484,0.072510,-2.359375,2.449219,-1.867188,5400,101,-121,-505,8239,7711,8382,7920,-75.479240,53.312263,0.000000,0.000000
28,1441,-1266,-4073,95,516,163,-0.000916,0.016847,-1.596802,0.057129,0.140137,0.048584,-2.359375,2.449219,-1.867188,5400,14,-234,-517,8238,7713,8374,7922,-75.479248,53.312740,0.000000,0.000000
