counter,    accel.x,    accel.y,    accel.z,    gyro_unscaled.p,    gyro_unscaled.q,    gyro_unscaled.r,    rot->phi,    rot->theta,    rot->psi,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3]
8116,1520,-1364,4660,-808,-65,160,0.000549,0.000061,-1.430211,-3.308594,1.886719,-1.179688,5100,133,30,-1362,8386,7207,8439,7075
8117,-174,461,-15464,171,-463,58,0.000854,-0.000427,-1.430151,-3.308594,1.886719,-1.179688,5100,-168,192,-1368,8401,7217,8437,7074
8118,-841,-431,-13351,350,372,48,0.001160,-0.000122,-1.430151,-3.308594,1.886719,-1.179688,5100,-225,-101,-1375,8387,7195,8442,7085
8119,-130,-136,-10902,110,854,69,0.001343,0.000671,-1.430030,-3.308594,1.886719,-1.179688,5100,-165,-297,-1384,8393,7208,8450,7081
8120,423,-197,-9978,-448,-764,20,0.000977,-0.000000,-1.430030,-3.308594,1.886719,-1.179688,5100,8,273,-1389,8374,7214,8464,7083
8121,-506,-175,-7203,-786,-877,38,0.000244,-0.000854,-1.430021,-3.308594,1.886719,-1.179688,5100,138,345,-1396,8381,7212,8466,7074
8122,-654,366,-11801,148,304,14,0.000427,-0.000610,-1.430021,-3.308594,1.886719,-1.179688,5100,-132,-49,-1400,8396,7223,8453,7071
8123,1626,-644,-6210,683,1322,21,0.001221,0.000732,-1.430021,-3.308594,1.886719,-1.179688,5100,-310,-444,-1404,8388,7216,8457,7050
8124,184,924,-15667,33,-477,-62,0.001282,0.000366,-1.430021,-3.308594,1.886719,-1.179688,5100,-131,169,-1400,8352,7197,8502,7070
8125,-1854,-866,-8327,-1218,-1496,-46,0.000061,-0.001221,-1.430021,-3.308594,1.886719,-1.179688,5100,269,565,-1397,8370,7220,8491,7073
8126,-585,695,-6879,-571,594,31,-0.000366,-0.000671,-1.430021,-3.308594,1.886719,-1.179688,5100,105,-149,-1401,8403,7209,8465,7056
8127,2952,-807,-11390,681,1379,-15,0.000366,0.000793,-1.430021,-3.308594,1.886719,-1.179688,5100,-274,-462,-1400,8389,7217,8434,7044
8128,-2679,893,-24439,652,-932,-177,0.000977,-0.000000,-1.430332,-3.308594,1.886719,-1.179688,5100,-295,339,-1382,8395,7199,8493,7070
8129,-1864,-1381,834,-840,-1360,-42,0.000183,-0.001404,-1.430384,-3.308594,1.886719,-1.179688,5100,154,531,-1375,8387,7190,8488,7050
8130,1362,170,-3135,-820,936,67,-0.000549,-0.000549,-1.430384,-3.308594,1.886719,-1.179688,5100,172,-264,-1379,8464,7221,8469,7047
8131,5820,-170,-5226,164,1241,35,-0.000305,0.000793,-1.430384,-3.308594,1.886719,-1.179688,5100,-111,-414,-1380,8442,7202,8466,7054
